label,s,f
불면증,0	,10
안면홍조,11,22
생리불순,23,34
갱년기영양제(백수오),35,48
배뇨장애+요실금수술,49,63
진땀,64,76
갱년기 유산균+식이섬유,77,91
퇴행성 관절염,92,106
골다공증,107,117
호르몬치료(HRT),118,135
생활습관개선방법,136,146
우울증,147,160
조기 폐경,161,173
선물,174	,185
갱년기 검사,186,197
하면 안되는 것,198,210
갱년기와 사춘기,211,223
마음가짐,234,236
화를 다스리기,237,248
다이어트,249,261
대인관계,262,272
피부질환,273,283
부부 갱년기,284,296
남성호르몬 주사,297,308
남성탈모,309,320
무기력함,321,334
복합적 증상,335,346
수면제,347,360
명상,361,376
남성갱년기 영양제,377,386
테스토스테론,387,400
폐경,401,414
요가,415,430
근육통,431,445
에스트로겐 대체요법,446,463
갱년기 영양제 추천,464,496
갱년기 극복,497,510
책+여행,511,527
항산화 물질,528,542
산부인과 추천,543,559
한방치료,560,576
갱년기+당뇨,577,593
의욕상실,594,608
체온조절,609,619
갱년기이후 영양제추천,620,630
한약복용,631,642
건망증,643,655
회화나무열매,656,668
남성갱년기,669,681
